Op40 01 h forecast valid for grid point 4.7 nm / 185 deg from AWO:
Op40        14     17      Feb    2016
   CAPE      0    CIN      1  Helic  99999     PW  99999
      5   8940    908    103     19    144     20
      5   8698   1145     85      6    150     17
      4   8500   1332     70      1    158     17
      5   8413   1415     64     -1    161     17
      5   8109   1721     41     -1    165     21
      5   7776   2068     19    -11    171     26
      5   7395   2458     -8    -31    183     31
      5   7011   2895    -54    -63    189     33
      4   7000   2907    -55    -64    189     33
      5   6575   3387    -84    -99    205     32
      5   6116   3943    -96   -136    223     32
      5   5646   4556   -138   -196    225     28
      5   5181   5190   -189   -246    220     28
      4   5000   5443   -211   -265    217     29
      5   4751   5809   -242   -293    213     31
      5   4386   6400   -291   -332    207     33
      5   4045   6966   -333   -366    204     38
      4   4000   7044   -338   -371    204     39
      5   3744   7509   -370   -400    204     45
      5   3462   8029   -409   -441    208     52
      5   3224   8525   -450   -490    212     57
      5   3002   8997   -485   -537    218     60
      4   3000   9002   -485   -537    218     60
      5   2812   9447   -506   -586    221     67
      5   2622   9879   -523   -626    221     72
      4   2500  10182   -536   -639    220     75
      5   2455  10298   -541   -644    219     76
      5   2305  10703   -555   -662    219     80
      5   2168  11103   -564   -681    221     83
      5   2031  11519   -571   -703    224     84
      5   1893  11964   -572   -731    229     81
      5   1755  12442   -563   -770    235     78
      5   1617  12963   -550   -813    239     72
      4   1500  13450   -541   -842    241     67
      5   1481  13533   -540   -847    241     66
      5   1342  14161   -540   -860    239     64
      5   1204  14856   -545   -860    238     65
      5   1066  15636   -545   -858    242     65
      4   1000  16040   -544   -858    244     60
      5    929  16507   -543   -857    247     55
      5    800  17423   -540   -858    247     45
      4    700  18299   -525   -857    248     36
      5    699  18309   -525   -857    248     36
      5    615  19164   -499   -856    260     23
      5    538  20051   -487   -855    291     12
      4    500  20523   -487   -855    302     11
      5    464  21005   -488   -856    313     10
      5    396  22040   -472   -861    330     13
      5    335  23185   -448   -866      9     15
      5    276  24480   -434   -873     38     15
      5    221  25974   -428   -879     53     15
      5    170  27753   -422   -887     59     17
      5    123  30037   -393   -896     37     20

Op40 analysis valid for grid point 4.7 nm / 185 deg from AWO:
Op40        17     17      Feb    2016
   CAPE    100    CIN    -17  Helic  99999     PW  99999
      1  23062      0  48.09 122.18     42  99999
      2  99999  99999  99999     66  99999  99999
      3           AWO                   12     kt
      9   9871     77    106     62    288      1
      4  10000  99999  99999  99999  99999  99999
      5   9847    105    108     52    128      3
      5   9774    154    111     48    129      5
      5   9696    235    118     44    126     13
      5   9545    354    125     40    124     23
      5   9370    509    117     32    129     27
      4   9250    621    111     29    134     28
      5   9171    696    107     27    138     29
      5   8944    908    104     24    148     32
      5   8696   1146     91     15    159     31
      4   8500   1322     81     10    165     28
      5   8397   1417     75      8    168     26
      5   8095   1724     53      7    179     27
      5   7771   2072     23      0    188     31
      5   7394   2462    -12    -40    192     30
      4   7000   2894    -56    -78    194     28
      5   6996   2899    -56    -78    194     28
      5   6574   3390    -87    -98    209     28
      5   6119   3945   -101   -126    223     29
      5   5646   4557   -143   -181    215     28
      5   5178   5190   -190   -243    203     26
      4   5000   5440   -211   -268    201     26
      5   4748   5809   -243   -304    198     26
      5   4384   6400   -290   -354    200     32
      5   4045   6966   -331   -383    200     39
      4   4000   7044   -337   -388    200     40
      5   3742   7510   -372   -419    198     49
      5   3468   8030   -410   -458    202     57
      5   3222   8526   -450   -504    211     58
      5   3001   8997   -485   -557    217     58
      4   3000   8999   -485   -557    217     58
      5   2810   9447   -507   -610    219     60
      5   2622   9879   -526   -636    218     64
      4   2500  10178   -540   -645    217     68
      5   2453  10297   -546   -649    217     70
      5   2304  10701   -561   -665    217     79
      5   2168  11100   -569   -675    219     86
      5   2029  11515   -572   -687    223     87
      5   1891  11960   -569   -715    228     84
      5   1753  12439   -560   -760    234     79
      5   1617  12960   -547   -810    239     73
      4   1500  13441   -539   -842    240     69
      5   1479  13531   -538   -848    240     68
      5   1341  14160   -538   -862    239     65
      5   1203  14855   -544   -861    239     65
      5   1067  15635   -546   -858    242     62
      4   1000  16039   -544   -858    244     58
      5    928  16506   -541   -857    246     53
      5    801  17423   -537   -857    245     42
      4    700  18291   -524   -857    245     35
      5    698  18309   -524   -857    245     35
      5    615  19164   -499   -856    256     22
      5    538  20050   -493   -855    282     11
      4    500  20522   -490   -855    289     10
      5    464  21003   -486   -856    297      8
      5    396  22040   -466   -861    333     10
      5    335  23185   -449   -867     21     11
      5    276  24480   -432   -874     47     12
      5    221  25975   -426   -880     59     11
      5    170  27754   -421   -890     53     12
      5    123  30038   -394   -897     27     17

Op40 analysis valid for grid point 4.7 nm / 185 deg from AWO:
Op40        18     17      Feb    2016
   CAPE     40    CIN    -11  Helic  99999     PW  99999
      1  23062      0  48.09 122.18     42  99999
      2  99999  99999  99999     66  99999  99999
      3           AWO                   12     kt
      9   9856     77    126     65    136      6
      4  10000  99999  99999  99999  99999  99999
      5   9831    105    126     56    136     11
      5   9779    154    126     51    133     14
      5   9681    236    125     41    129     22
      5   9549    355    127     30    128     28
      5   9374    510    122     22    134     32
      4   9250    616    117     18    139     34
      5   9156    697    113     15    142     36
      5   8942    910    105      9    151     41
      5   8681   1148     90      7    158     37
      4   8500   1323     80      4    164     31
      5   8403   1418     74      3    168     28
      5   8100   1726     54     -2    181     25
      5   7757   2074     26    -17    189     24
      5   7397   2464    -14    -43    192     23
      4   7000   2900    -49    -77    194     26
      5   6999   2902    -49    -77    194     26
      5   6577   3393    -86   -100    206     27
      5   6105   3946   -114   -128    219     25
      5   5629   4556   -153   -194    217     23
      5   5165   5187   -198   -243    208     24
      4   5000   5430   -216   -261    206     26
      5   4755   5805   -244   -290    204     28
      5   4384   6397   -285   -310    205     39
      5   4043   6964   -332   -369    206     45
      4   4000   7035   -338   -377    205     45
      5   3730   7507   -378   -430    202     47
      5   3468   8025   -415   -469    203     49
      5   3223   8520   -453   -527    213     48
      4   3000   8989   -481   -587    216     51
      5   2999   8992   -481   -587    216     51
      5   2808   9442   -501   -639    215     57
      5   2620   9875   -524   -667    216     63
      4   2500  10170   -539   -669    217     68
      5   2452  10293   -545   -670    217     70
      5   2303  10698   -559   -668    218     77
      5   2166  11098   -560   -668    221     81
      5   2028  11515   -555   -681    225     81
      5   1890  11963   -551   -710    229     78
      5   1754  12447   -543   -759    234     74
      5   1616  12971   -536   -811    237     70
      4   1500  13449   -534   -844    239     67
      5   1478  13544   -534   -850    239     67
      5   1340  14173   -538   -863    238     65
      5   1203  14869   -544   -861    237     64
      5   1065  15649   -544   -859    238     61
      4   1000  16044   -539   -858    239     57
      5    927  16521   -534   -857    240     53
      5    801  17440   -531   -856    242     42
      4    700  18310   -524   -857    244     36
      5    698  18328   -524   -857    244     36
      5    615  19183   -500   -856    254     25
      5    536  20068   -494   -856    279     13
      4    500  20520   -493   -856    284     12
      5    463  21020   -491   -857    289     10
      5    397  22053   -474   -861    328     11
      5    334  23196   -455   -867     11     10
      5    276  24487   -437   -875     39     11
      5    221  25979   -428   -882     37     10
      5    170  27758   -420   -894     35     13
      5    123  30042   -392   -897     28     20

Op40 analysis valid for grid point 4.7 nm / 185 deg from AWO:
Op40        19     17      Feb    2016
   CAPE     40    CIN     -7  Helic  99999     PW  99999
      1  23062      0  48.09 122.18     42  99999
      2  99999  99999  99999     66  99999  99999
      3           AWO                   12     kt
      9   9848     77    125     61     53      2
      4  10000  99999  99999  99999  99999  99999
      5   9831    105    128     56    124      7
      5   9776    154    132     56    123      9
      5   9673    236    132     48    122     15
      5   9549    355    129     41    122     21
      5   9374    511    121     34    131     28
      4   9250    612    114     28    136     31
      5   9149    698    108     23    141     34
      5   8920    910     98     17    153     38
      5   8681   1147     84     13    165     35
      4   8500   1317     72     14    173     32
      5   8395   1417     65     14    177     31
      5   8097   1724     42      7    185     30
      5   7757   2070     13     -8    190     28
      5   7376   2458    -24    -42    193     27
      4   7000   2885    -54    -73    194     26
      5   6992   2894    -55    -74    194     26
      5   6557   3386    -78    -97    209     26
      5   6098   3940   -113   -149    220     21
