"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","325 mb",-121.691,48.169,58.2947
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","325 mb",-121.691,48.169,-0.28448
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","325 mb",-121.691,48.169,29.9641
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","325 mb",-121.691,48.169,17.5951
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","350 mb",-121.691,48.169,7938.98
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","350 mb",-121.691,48.169,229.23
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","350 mb",-121.691,48.169,66.3562
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","350 mb",-121.691,48.169,-0.4007
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","350 mb",-121.691,48.169,26.8155
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","350 mb",-121.691,48.169,15.1007
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","375 mb",-121.691,48.169,7472.15
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","375 mb",-121.691,48.169,233.281
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","375 mb",-121.691,48.169,69.524
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","375 mb",-121.691,48.169,-0.520179
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","375 mb",-121.691,48.169,25.2287
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","375 mb",-121.691,48.169,13.9326
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","400 mb",-121.691,48.169,7027.92
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","400 mb",-121.691,48.169,237.258
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","400 mb",-121.691,48.169,71.9723
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","400 mb",-121.691,48.169,-0.633024
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","400 mb",-121.691,48.169,24.2316
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","400 mb",-121.691,48.169,13.4112
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","425 mb",-121.691,48.169,6604.25
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","425 mb",-121.691,48.169,240.681
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","425 mb",-121.691,48.169,74.432
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","425 mb",-121.691,48.169,-0.664325
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","425 mb",-121.691,48.169,22.9187
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","425 mb",-121.691,48.169,11.8848
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","450 mb",-121.691,48.169,6199.12
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","450 mb",-121.691,48.169,243.672
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","450 mb",-121.691,48.169,76.385
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","450 mb",-121.691,48.169,-0.680369
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","450 mb",-121.691,48.169,20.9242
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","450 mb",-121.691,48.169,9.30428
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","475 mb",-121.691,48.169,5811.22
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","475 mb",-121.691,48.169,246.279
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","475 mb",-121.691,48.169,77.878
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","475 mb",-121.691,48.169,-0.668049
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","475 mb",-121.691,48.169,18.2981
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","475 mb",-121.691,48.169,6.48427
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","500 mb",-121.691,48.169,5440
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","500 mb",-121.691,48.169,248.612
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","500 mb",-121.691,48.169,79.9316
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","500 mb",-121.691,48.169,-0.612703
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","500 mb",-121.691,48.169,15.1178
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","500 mb",-121.691,48.169,4.68716
"2017-01-07 20:00:00","2017-01-07 20:00:00","ABSV","500 mb",-121.691,48.169,0.000117055
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","525 mb",-121.691,48.169,5083.14
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","525 mb",-121.691,48.169,250.819
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","525 mb",-121.691,48.169,81.2818
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","525 mb",-121.691,48.169,-0.574502
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","525 mb",-121.691,48.169,12.0483
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","525 mb",-121.691,48.169,3.78873
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","550 mb",-121.691,48.169,4740.18
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","550 mb",-121.691,48.169,252.909
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","550 mb",-121.691,48.169,82.6873
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","550 mb",-121.691,48.169,-0.554481
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","550 mb",-121.691,48.169,9.22885
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","550 mb",-121.691,48.169,3.93691
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","575 mb",-121.691,48.169,4409.66
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","575 mb",-121.691,48.169,255.003
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","575 mb",-121.691,48.169,84.1529
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","575 mb",-121.691,48.169,-0.560605
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","575 mb",-121.691,48.169,7.05148
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","575 mb",-121.691,48.169,4.62925
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","600 mb",-121.691,48.169,4090.43
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","600 mb",-121.691,48.169,257.078
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","600 mb",-121.691,48.169,85.2594
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","600 mb",-121.691,48.169,-0.614685
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","600 mb",-121.691,48.169,5.56568
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","600 mb",-121.691,48.169,5.58089
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","625 mb",-121.691,48.169,3781.9
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","625 mb",-121.691,48.169,259.181
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","625 mb",-121.691,48.169,87.3315
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","625 mb",-121.691,48.169,-0.656456
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","625 mb",-121.691,48.169,4.80193
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","625 mb",-121.691,48.169,6.61523
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","650 mb",-121.691,48.169,3482.96
"2017-01-07 20:00:00","2017-01-07 20:00:00","TMP","650 mb",-121.691,48.169,261.172
"2017-01-07 20:00:00","2017-01-07 20:00:00","RH","650 mb",-121.691,48.169,88.7145
"2017-01-07 20:00:00","2017-01-07 20:00:00","VVEL","650 mb",-121.691,48.169,-0.667723
"2017-01-07 20:00:00","2017-01-07 20:00:00","UGRD","650 mb",-121.691,48.169,4.3323
"2017-01-07 20:00:00","2017-01-07 20:00:00","VGRD","650 mb",-121.691,48.169,7.60065
"2017-01-07 20:00:00","2017-01-07 20:00:00","HGT","675 mb",-121.691,48.169,3193.18
